序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,mean_memory
148,aime_Qwen3-0.6B_S32,32,2,1,3,60,0.08333333333333333,0.48150885532886417,34929.666666666664,863170.0,2407957784363597.0,6577389207611.733
149,aime_Qwen3-0.6B_S16,32,2,1,3,60,0.05555555555555556,0.42985068351905337,35720.333333333336,433589.6666666667,1406636339781248.0,4597627950190.934
150,aime_Qwen3-0.6B_S8,32,2,1,3,60,0.03888888888888889,0.37082985591351636,34541.666666666664,224277.33333333334,854865677445589.4,3299387828386.1333
151,aime_Qwen3-0.6B_S4,32,2,1,3,60,0.022222222222222223,0.3065193549307598,30441.0,110423.66666666667,510867597354481.8,2225080106097.778
152,aime_Qwen3-0.6B_S2,32,2,1,3,60,0.011111111111111112,0.2490961131946572,31472.333333333332,58898.333333333336,348625647769509.0,1596522893684.6223
153,aime_Qwen3-0.6B_S1,32,2,1,3,60,0.016666666666666666,0.183223615352352,30561.333333333332,30561.333333333332,223634953525723.0,1095960677125.689
154,aime_Qwen3-0.6B_S16,16,4,2,3,60,0.11666666666666665,0.5347167413760731,35957.666666666664,902626.0,2767931806668399.0,6729085864302.934
155,aime_Qwen3-0.6B_S8,16,4,2,3,60,0.07222222222222223,0.4868866043156335,37319.0,462836.6666666667,1552475782913049.8,4556574487028.622
156,aime_Qwen3-0.6B_S4,16,4,2,3,60,0.03333333333333333,0.40566550961620224,35922.333333333336,238877.0,909333671136384.0,3130248954746.311
157,aime_Qwen3-0.6B_S2,16,4,2,3,60,0.016666666666666666,0.3174989619774939,33487.0,121927.66666666667,565674266639499.4,2228002256810.6665
158,aime_Qwen3-0.6B_S1,16,4,2,3,60,0.03888888888888889,0.26982272846377625,30620.0,60461.333333333336,340900614109388.8,1517355839840.711
159,aime_Qwen3-0.6B_S8,8,8,2,3,60,0.10000000000000002,0.5297340816751057,33673.0,431773.0,2487100366544862.0,6006626265429.333
160,aime_Qwen3-0.6B_S4,8,8,2,3,60,0.07777777777777778,0.4683783874884219,32348.0,220113.33333333334,1293289644844199.8,3859976002568.533
161,aime_Qwen3-0.6B_S2,8,8,2,3,60,0.049999999999999996,0.404601306565604,32330.666666666668,115683.0,785744932714291.1,2660675385881.6
162,aime_Qwen3-0.6B_S1,8,8,2,3,60,0.03888888888888889,0.3425643641160347,27638.333333333332,54941.666666666664,391262544349937.8,1601461348147.2
163,aime_Qwen3-0.6B_S4,4,16,4,3,60,0.08333333333333333,0.5350035619866881,35604.0,460571.3333333333,2197560100078703.0,5388090116053.333
164,aime_Qwen3-0.6B_S2,4,16,4,3,60,0.07222222222222223,0.47715429285063166,33661.333333333336,242412.66666666666,1260263566910532.2,3646032831143.8223
165,aime_Qwen3-0.6B_S1,4,16,4,3,60,0.049999999999999996,0.4098521926840329,29219.0,114564.0,667612689198899.1,2293688631469.511
166,aime_Qwen3-0.6B_S2,2,32,4,3,60,0.06666666666666667,0.49582603186787816,30303.666666666668,215106.0,1637342060016827.8,4199890597614.933
167,aime_Qwen3-0.6B_S1,2,32,4,3,60,0.05555555555555556,0.4159865610830336,28467.333333333332,110864.33333333333,922580256065891.5,2681679495901.8667
168,aime_Qwen3-0.6B_S1,1,64,4,3,60,0.16666666666666666,0.6191187566157731,81399.0,326009.0,5456037815455787.0,9239594852292.268
