序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
125,aime_Qwen3-1.7B_S1,32,2,1,3,60,0.03888888888888889,0.36038465100523515,67849.33333333333,67849.33333333333,31501799954030.934,186614021728.7111
126,aime_Qwen3-1.7B_S16,16,4,2,3,60,0.2333333333333333,0.7177371730138092,69249.0,1838039.6666666667,83441215033314.14,399847535808.0
127,aime_Qwen3-1.7B_S8,16,4,2,3,60,0.18888888888888888,0.6680320116969142,69265.0,952603.0,62495017125671.82,329556733114.3111
128,aime_Qwen3-1.7B_S4,16,4,2,3,60,0.15555555555555556,0.6187670668571382,71054.0,509863.6666666667,48623362242898.49,272483085414.4
129,aime_Qwen3-1.7B_S2,16,4,2,3,60,0.13888888888888887,0.5623721853996194,73381.0,268394.3333333333,40661789082083.555,237254409966.93335
130,aime_Qwen3-1.7B_S1,16,4,2,3,60,0.07777777777777778,0.48473878075350174,67069.0,133557.0,34194735092970.668,203645563111.82224
131,aime_Qwen3-1.7B_S8,8,8,2,3,60,0.20000000000000004,0.6717525506318737,79162.0,1239531.0,50686559205333.336,284464069956.26666
132,aime_Qwen3-1.7B_S4,8,8,2,3,60,0.14444444444444446,0.638728994526654,79384.33333333333,647788.6666666666,41559988109277.87,244558003837.15555
133,aime_Qwen3-1.7B_S2,8,8,2,3,60,0.12777777777777777,0.5710000951789082,84050.33333333333,347519.0,35171810300470.047,212720832147.91113
134,aime_Qwen3-1.7B_S1,8,8,2,3,60,0.07777777777777778,0.4509696758836417,84734.66666666667,169707.66666666666,29394938252198.402,180241528568.8889
135,aime_Qwen3-1.7B_S4,4,16,4,3,60,0.15,0.7285987343113643,63367.0,933840.6666666666,45197154895424.0,251685015739.7333
136,aime_Qwen3-1.7B_S2,4,16,4,3,60,0.12222222222222223,0.6751590712353973,62666.333333333336,497901.0,37635145890914.13,218542623955.91113
137,aime_Qwen3-1.7B_S1,4,16,4,3,60,0.09444444444444444,0.594587998873206,63075.666666666664,252304.0,30942065624263.113,183337397575.1111
138,aime_Qwen3-1.7B_S2,2,32,4,3,60,0.11666666666666665,0.6938059229791097,58438.333333333336,469395.3333333333,40822067636970.664,238721617373.86667
139,aime_Qwen3-1.7B_S1,2,32,4,3,60,0.09444444444444444,0.6131640041187998,62060.333333333336,249762.33333333334,33427584396804.266,199090752448.0
140,aime_Qwen3-1.7B_S1,1,64,4,3,60,0.11666666666666665,0.5891129690473818,63355.0,252983.0,34146835134839.465,203649659554.13333
141,aime_Qwen3-0.6B_S64,64,1,1,3,60,0.016666666666666666,0.20210805028850745,14228.666666666666,88090.33333333333,612612756503987.2,1906402860288.0
142,aime_Qwen3-0.6B_S32,64,1,1,3,60,0.016666666666666666,0.18362932282378988,12868.0,63319.666666666664,420219898181808.3,1530529739909.6887
143,aime_Qwen3-0.6B_S16,64,1,1,3,60,0.005555555555555556,0.17939427660747667,14299.0,64379.333333333336,320380888141980.44,1332196857230.2224
144,aime_Qwen3-0.6B_S8,64,1,1,3,60,0.011111111111111112,0.16335158709278744,15395.0,47078.666666666664,244512253794181.66,1142130391387.0222
145,aime_Qwen3-0.6B_S4,64,1,1,3,60,0.011111111111111112,0.1569972010923059,17381.666666666668,38039.333333333336,210308925648981.34,1073148112901.6888
146,aime_Qwen3-0.6B_S2,64,1,1,3,60,0.005555555555555556,0.14316944296980963,19964.0,29652.333333333332,163884070257487.66,885672905204.6222
147,aime_Qwen3-0.6B_S1,64,1,1,3,60,0.0,0.12549467957886531,26845.0,26845.0,136032694582778.31,749760237875.2001
148,aime_Qwen3-0.6B_S32,32,2,1,3,60,0.08333333333333333,0.48150885532886417,34929.666666666664,863170.0,123090250848409.58,524467311718.4001
149,aime_Qwen3-0.6B_S16,32,2,1,3,60,0.05555555555555556,0.42985068351905337,35720.333333333336,433589.6666666667,79478207266360.89,376194505349.6889
150,aime_Qwen3-0.6B_S8,32,2,1,3,60,0.03888888888888889,0.37082985591351636,34541.666666666664,224277.33333333334,54544672900818.49,281429528823.4666
151,aime_Qwen3-0.6B_S4,32,2,1,3,60,0.022222222222222223,0.3065193549307598,30441.0,110423.66666666667,40141349492738.84,221645346372.2667
152,aime_Qwen3-0.6B_S2,32,2,1,3,60,0.011111111111111112,0.2490961131946572,31472.333333333332,58898.333333333336,27956421440213.332,160152506106.31113
153,aime_Qwen3-0.6B_S1,32,2,1,3,60,0.016666666666666666,0.183223615352352,30561.333333333332,30561.333333333332,20465362262553.598,120488965725.86665
154,aime_Qwen3-0.6B_S16,16,4,2,3,60,0.11666666666666665,0.5347167413760731,35957.666666666664,902626.0,80214349053149.86,379442857591.4666
155,aime_Qwen3-0.6B_S8,16,4,2,3,60,0.07222222222222223,0.4868866043156335,37319.0,462836.6666666667,55475177953058.13,287017522173.1555
156,aime_Qwen3-0.6B_S4,16,4,2,3,60,0.03333333333333333,0.40566550961620224,35922.333333333336,238877.0,40031621232261.69,220703292828.44443
157,aime_Qwen3-0.6B_S2,16,4,2,3,60,0.016666666666666666,0.3174989619774939,33487.0,121927.66666666667,28677825606007.47,164786714072.17776
158,aime_Qwen3-0.6B_S1,16,4,2,3,60,0.03888888888888889,0.26982272846377625,30620.0,60461.333333333336,23905541246555.02,142081074215.82224
159,aime_Qwen3-0.6B_S8,8,8,2,3,60,0.10000000000000002,0.5297340816751057,33673.0,431773.0,50929820034218.664,259372506385.06668
160,aime_Qwen3-0.6B_S4,8,8,2,3,60,0.07777777777777778,0.4683783874884219,32348.0,220113.33333333334,38373861674163.195,210752026828.80002
161,aime_Qwen3-0.6B_S2,8,8,2,3,60,0.049999999999999996,0.404601306565604,32330.666666666668,115683.0,27819486942640.355,159528281144.8889
